model_name,lang,n,triple_exact_precision,triple_exact_recall,triple_exact_f1,triple_swap_aware_precision,triple_swap_aware_recall,triple_swap_aware_f1,swap_gain_exact_f1,swap_gain_exact_recall,subject_f1,predicate_f1,object_f1,hallucinated_triples,missed_triples,pred_gold_ratio,count_abs_error,count_signed_error,count_agreement,hallucination_rate_pred,omission_rate_gold,information_retention_rate,information_injection_rate,graph_edit_distance_proxy,normalized_graph_edit_distance,graph_similarity,triple_soft_precision,triple_soft_recall,triple_soft_f1,triple_soft_tp_weighted,triple_soft_avg_match_score,triple_soft_swap_aware_precision,triple_soft_swap_aware_recall,triple_soft_swap_aware_f1,triple_soft_swap_aware_tp_weighted,triple_soft_swap_aware_avg_match_score,swap_gain_soft_f1,swap_gain_soft_recall,triple_exact_f1_en,triple_exact_f1_relative_to_en,triple_swap_aware_f1_en,triple_swap_aware_f1_relative_to_en,triple_soft_f1_en,triple_soft_f1_relative_to_en,triple_soft_swap_aware_f1_en,triple_soft_swap_aware_f1_relative_to_en,predicate_f1_en,predicate_f1_relative_to_en,graph_similarity_en,graph_similarity_relative_to_en,information_retention_rate_en,information_retention_rate_relative_to_en
BSC-LT/salamandra-2b-instruct,ca,1779,0.024921671296038915,0.02431141090500281,0.022606480232211807,0.028341195373235845,0.026218581867823016,0.024782662678208757,0.0021761824459969486,0.001907170962820204,0.2357471829735964,0.09360868220604358,0.1549760413725455,2.3091624508150645,3.1079258010118043,0.9230734227361546,2.041034288926363,-0.7987633501967397,0.5473254900742253,0.9587770358428032,0.9756885890949972,0.02431141090500281,0.9587770358428032,5.417088251826869,0.9773935197677882,0.022606480232211807,0.03716357988467788,0.03471163001456907,0.032459702959005826,0.09415669584303647,0.08210508549181961,0.04392604807561712,0.03979725814919476,0.03750933153777063,0.10453029316154668,0.09198683345676038,0.005049628578764798,0.005085628134625699,0.047572466285634475,0.47520093022880167,0.05863653181850271,0.4226488489278046,0.07497752764084475,0.43292575762825075,0.09303355547202717,0.4031806733329538,0.18282921082449896,0.5120006906111969,0.047572466285634475,0.47520093022880167,0.05960009636232233,0.4079089194287254
BSC-LT/salamandra-2b-instruct,en,1779,0.04737775361166681,0.05960009636232233,0.047572466285634475,0.059088452506176836,0.07113814609598758,0.05863653181850271,0.01106406553286823,0.011538049733665248,0.3305766608860295,0.18282921082449896,0.26206314357736255,4.410905002810567,3.03035413153457,1.8736315211863273,2.7734682405845983,1.3805508712759977,0.6213611143889748,0.9492495651067142,0.9403999036376777,0.05960009636232233,0.9492495651067142,7.441259134345137,0.9524275337143655,0.047572466285634475,0.07566237353889708,0.09221776640931674,0.07497752764084475,0.23210247024015587,0.1860874627474924,0.09508482188770856,0.11192933079063941,0.09303355547202717,0.27705773929604327,0.22116291703317714,0.018056027831182413,0.019711564381322672,0.047572466285634475,1.0,0.05863653181850271,1.0,0.07497752764084475,1.0,0.09303355547202717,1.0,0.18282921082449896,1.0,0.047572466285634475,1.0,0.05960009636232233,1.0
BSC-LT/salamandra-2b-instruct,es,1779,0.027506399976889015,0.042447602987232,0.02763620161943741,0.031178875150207362,0.04563291308653872,0.03072425715268687,0.0030880555332494625,0.0031853100993067267,0.23545984993901606,0.1257759347892428,0.2235719517043425,3.4867903316469926,3.077009555930298,1.5223988864798308,2.3580663293985387,0.40978077571669475,0.5669370452812076,0.9590028748966355,0.957552397012768,0.042447602987232,0.9590028748966355,6.56379988757729,0.9723637983805626,0.02763620161943741,0.05585461235994102,0.07334239818641168,0.053018999543340765,0.1756946460572093,0.15699580279400405,0.06742988848458945,0.08269987860909728,0.06243116707102263,0.19160669759320687,0.17290785433000158,0.00941216752768186,0.009357480422685594,0.047572466285634475,0.5809285029181418,0.05863653181850271,0.5239780764624258,0.07497752764084475,0.7071318728634384,0.09303355547202717,0.6710607452790955,0.18282921082449896,0.6879422288267566,0.047572466285634475,0.5809285029181418,0.05960009636232233,0.7122069523039614
BSC-LT/salamandra-2b-instruct,eu,1779,0.003236228826448051,0.00465751224604513,0.00333027162706758,0.004360455920321013,0.0055943681576059315,0.0043420760115532465,0.0010118043844856662,0.0009368559115608019,0.19572321348695873,0.04052024248198396,0.12080254846910723,3.1562675660483417,3.1579539066891513,1.2153831740678283,2.669477234401349,-0.0016863406408094434,0.5022774065515361,0.9399903029329674,0.995342487753955,0.00465751224604513,0.9399903029329674,6.314221472737493,0.9966697283729324,0.00333027162706758,0.006569631105887429,0.008209088394585866,0.006302275126520958,0.018425055988293762,0.016738715347484317,0.008837491594658542,0.010061297143927835,0.008259560445245286,0.02222155303942825,0.02053521239861881,0.001957285318724329,0.0018522087493419701,0.047572466285634475,0.0700041828202047,0.05863653181850271,0.07405069633028855,0.07497752764084475,0.08405552069828094,0.09303355547202717,0.08878044489795649,0.18282921082449896,0.22162893062465858,0.047572466285634475,0.0700041828202047,0.05960009636232233,0.0781460522770143
BSC-LT/salamandra-2b-instruct,gl,1779,0.01718012485297477,0.021793945234080143,0.016864118692466967,0.018561987322526948,0.023339757488155467,0.0183068767962706,0.001442758103803635,0.0015458122540753232,0.2877262544152044,0.08178562664762963,0.19372356953819722,3.3473861720067455,3.1186059584035974,1.394504670895902,2.344575604272063,0.22878021360314785,0.5644411616476053,0.9653943551919943,0.9782060547659199,0.021793945234080143,0.9653943551919943,6.465992130410343,0.983135881307533,0.016864118692466967,0.03453961802273119,0.04087682280681291,0.03216562329716864,0.1028367116197358,0.09304032163784834,0.03900514916055014,0.04506546097521499,0.0362452522643749,0.11132462617847666,0.10111601959550244,0.004079628967206258,0.004188638168402081,0.047572466285634475,0.3544932606859495,0.05863653181850271,0.312209406465849,0.07497752764084475,0.42900352024472593,0.09303355547202717,0.3895933255530896,0.18282921082449896,0.4473334773956724,0.047572466285634475,0.3544932606859495,0.05960009636232233,0.36566963082727033
CohereLabs/tiny-aya-global,ca,1779,0.12127066456746051,0.11899006932733745,0.11933224837450608,0.12305604426177782,0.12083567547311223,0.1211395285966261,0.00180728022212002,0.0018456061457747797,0.4483416656638559,0.32120927840102526,0.479080339929958,2.971894322653176,2.836424957841484,1.079996787922589,0.5120854412591344,0.13546936481169197,0.8841663847987626,0.8787293354325395,0.8810099306726625,0.11899006932733745,0.8787293354325395,5.8083192804946595,0.8806677516254939,0.11933224837450608,0.19166678502092993,0.19130741287417055,0.18978922469152595,0.5670242333395791,0.41514025327825216,0.19416710288275707,0.19396094571320086,0.19234911249593317,0.573771157329336,0.41983858567472954,0.0025598878044071974,0.0026535328390303098,0.22594548451919536,0.5281461969839372,0.2292230732099375,0.5284787735381185,0.3001725500065899,0.6322670900032644,0.30560908825650646,0.6293959174881902,0.4448230161609682,0.7221057965327702,0.22594548451919538,0.5281461969839372,0.22489895339811022,0.5290823613425375
CohereLabs/tiny-aya-global,en,1779,0.23007664373600292,0.22489895339811022,0.22594548451919536,0.23341854260909908,0.22814181321769852,0.2292230732099375,0.003277588690742148,0.0032428598195883185,0.6288882397776671,0.4448230161609682,0.5073721689138131,2.580663293985385,2.4749859471613265,1.067761449717605,0.508150646430579,0.10567734682405847,0.8799200518424802,0.7598053124191404,0.7751010466018898,0.22489895339811022,0.7598053124191404,5.055649241146711,0.7740545154808046,0.22594548451919538,0.30313972069372375,0.3030414610498727,0.3001725500065899,0.9381537003375114,0.5624915960104269,0.3086010330057949,0.30849741989959206,0.30560908825650646,0.9516970678437795,0.5714771595069515,0.005436538249916552,0.00545595884971939,0.22594548451919536,1.0,0.2292230732099375,1.0,0.3001725500065899,1.0,0.30560908825650646,1.0,0.4448230161609682,1.0,0.22594548451919538,1.0,0.22489895339811022,1.0
CohereLabs/tiny-aya-global,es,1779,0.110954745398253,0.11044995851066677,0.11001100891488749,0.11177516350366266,0.11137744586311196,0.11087507832870395,0.0008640694138164627,0.0009274873524451939,0.44867921511855646,0.34197853089828095,0.4823117789564571,3.098369870713884,2.873524451939292,1.1030327364222812,0.5205171444631815,0.22484541877459246,0.8842513538550638,0.889045254601747,0.8895500414893333,0.11044995851066677,0.889045254601747,5.971894322653176,0.8899889910851125,0.11001100891488749,0.19371084792474774,0.1963683224618006,0.19329112662034645,0.5688418689964502,0.43109754292300667,0.19715692368813661,0.20037100216712225,0.19693496648959385,0.5803629660993348,0.4366874498619861,0.0036438398692474018,0.004002679705321639,0.22594548451919536,0.4868918232598777,0.2292230732099375,0.48369946696926663,0.3001725500065899,0.6439333863676175,0.30560908825650646,0.6444015379683365,0.4448230161609682,0.7687968438542513,0.22594548451919538,0.4868918232598776,0.22489895339811022,0.4911092597000714
CohereLabs/tiny-aya-global,eu,1779,0.01569434406702535,0.015617388045718569,0.015498579242255466,0.01695909954763243,0.016807195053400788,0.01671564024009218,0.0012170609978367146,0.0011898070076822186,0.3512883445181828,0.13457016077787828,0.35173342686734216,3.149522203485104,3.123664980326026,1.0671096656762762,0.7498594716132658,0.025857223159078135,0.805499988526426,0.9398986857249926,0.9843826119542815,0.015617388045718569,0.9398986857249926,6.27318718381113,0.9845014207577445,0.015498579242255466,0.03433229076005917,0.03466370590457156,0.0338472064930352,0.10631715992873947,0.09614654805773412,0.03764006131066277,0.037907978443391596,0.03711100474933861,0.11419299529192727,0.10346026987398545,0.003263798256303409,0.0032442725388200375,0.22594548451919536,0.06859433050957375,0.2292230732099375,0.07292302649124201,0.3001725500065899,0.11275916632714128,0.30560908825650646,0.12143292256475789,0.4448230161609682,0.3025251749320034,0.22594548451919538,0.06859433050957374,0.22489895339811022,0.06944179957153059
CohereLabs/tiny-aya-global,gl,1779,0.12146470729944592,0.12107524291335421,0.12056298293161283,0.1245389330549533,0.12433550148558581,0.12370996710726478,0.0031469841756519667,0.0032602585722315905,0.5210334453346037,0.2900231570149003,0.46248747957557945,3.0460933108487915,2.8195615514333894,1.105617120372601,0.5739179314221473,0.2265317594154019,0.8712604382376726,0.8701035894965069,0.8789247570866459,0.12107524291335421,0.8701035894965069,5.865654862282181,0.8794370170683873,0.12056298293161283,0.16443751530445835,0.16638458505214174,0.1639224812042733,0.4944327709223718,0.391719030220295,0.1684912759630532,0.1703708920851042,0.167877148733983,0.5045107381532339,0.39912799905422164,0.003954667529709689,0.003986307032962457,0.22594548451919536,0.5335932390424484,0.2292230732099375,0.5396924723802262,0.3001725500065899,0.5460941755023057,0.30560908825650646,0.549319883422704,0.4448230161609682,0.651996741351058,0.22594548451919538,0.5335932390424483,0.22489895339811022,0.5383539633420614
