model_name,lang,triple_exact_micro_precision,triple_exact_micro_recall,triple_exact_micro_f1,tp,fp,fn,hallucination_rate_micro,omission_rate_micro,graph_similarity_micro,triple_swap_aware_micro_precision,triple_swap_aware_micro_recall,triple_swap_aware_micro_f1,triple_soft_micro_precision,triple_soft_micro_recall,triple_soft_micro_f1,triple_soft_swap_aware_micro_precision,triple_soft_swap_aware_micro_recall,triple_soft_swap_aware_micro_f1
BSC-LT/salamandra-2b-instruct,ca,0.026078710289236605,0.019507004788082993,0.02231916404585574,110.0,4108.0,5529.0,0.9739212897107634,0.980492995211917,0.022319164045855766,0.02797534376481745,0.02092569604539812,0.023942375976463426,0.03971189234347129,0.029704692659117207,0.03398696599467625,0.044087100885346495,0.03297737037318523,0.037731437868396375
BSC-LT/salamandra-2b-instruct,en,0.03063619518221124,0.04397942897676893,0.03611475171108199,248.0,7847.0,5391.0,0.9693638048177887,0.956020571023231,0.03611475171108203,0.036565781346510194,0.052491576520659694,0.04310470365516237,0.0510080660354833,0.0732240281179708,0.06012964825356594,0.06088767365134786,0.08740658240958697,0.0717759892540645
BSC-LT/salamandra-2b-instruct,es,0.025910804020100504,0.02926050718212449,0.027483967685516784,165.0,6203.0,5474.0,0.9740891959798995,0.9707394928178755,0.027483967685516753,0.02763819095477387,0.03121120766093279,0.029316232197884567,0.04908303632785417,0.055428404918562754,0.05206309241871831,0.05352831580061479,0.06044836230152775,0.05677826518169651
BSC-LT/salamandra-2b-instruct,eu,0.0037260468417317245,0.0037240645504522077,0.0037250554323725055,21.0,5615.0,5618.0,0.9962739531582683,0.9962759354495478,0.0037250554323725593,0.0042583392476933995,0.00425607377194538,0.004257206208425721,0.0058158578075185605,0.005812763717534067,0.005814310350895717,0.007014219811416405,0.0070104881817951515,0.007012353500158379
BSC-LT/salamandra-2b-instruct,gl,0.015051273569302017,0.016137613051959567,0.015575524176294394,91.0,5955.0,5548.0,0.984948726430698,0.9838623869480404,0.015575524176294375,0.0157128680119087,0.01684695868061713,0.01626016260162602,0.03025909857285974,0.032443076781611985,0.0313130526267026,0.032756617593699966,0.035120856529794284,0.03389756268232948
CohereLabs/tiny-aya-global,ca,0.10085034013605443,0.10516048944848377,0.10296032641722372,593.0,5287.0,5046.0,0.8991496598639456,0.8948395105515162,0.10296032641722375,0.10204081632653061,0.10640184429863452,0.1041757096970223,0.1715537603930461,0.1788856377214242,0.17514300045335723,0.17359504913076343,0.18101416720852792,0.17722699694225003
CohereLabs/tiny-aya-global,en,0.21211601166981295,0.21918779925518708,0.21559392987964418,1236.0,4591.0,4403.0,0.787883988330187,0.780812200744813,0.2155939298796442,0.21469023511240776,0.22184784536265295,0.21821036106750394,0.28642104563247517,0.29597010691619663,0.29111729162749567,0.2905558750118558,0.30024278838341617,0.2953199169185564
CohereLabs/tiny-aya-global,es,0.08726610365954628,0.09345628657563398,0.09025518068162355,527.0,5512.0,5112.0,0.9127338963404538,0.906543713424366,0.09025518068162353,0.08825964563669482,0.09452030501862033,0.0912827538962151,0.16757239359905363,0.17945906808737097,0.17331215703796624,0.1709663382498289,0.18309376071833958,0.17682235257590628
CohereLabs/tiny-aya-global,eu,0.014423922603342128,0.014541585387480049,0.014482515012363124,82.0,5603.0,5557.0,0.9855760773966579,0.9854584146125199,0.014482515012363084,0.015479331574318382,0.015605603830466394,0.015542211232779936,0.03326969701200132,0.0335410937246369,0.03340484413868377,0.03573427240533661,0.036025773829462426,0.03587943105339785
CohereLabs/tiny-aya-global,gl,0.10311155246607084,0.1104805816634155,0.1066689495762349,623.0,5419.0,5016.0,0.8968884475339292,0.8895194183365845,0.10666894957623496,0.10526315789473684,0.11278595495655258,0.10889478640527353,0.14558025479491882,0.1559843765687,0.15060284213182082,0.14854760065782904,0.15916378846862975,0.15367256282417655
