model_name,lang,category,n,triple_exact_precision,triple_exact_recall,triple_exact_f1,triple_swap_aware_precision,triple_swap_aware_recall,triple_swap_aware_f1,swap_gain_exact_f1,swap_gain_exact_recall,subject_f1,predicate_f1,object_f1,hallucinated_triples,missed_triples,pred_gold_ratio,count_abs_error,count_signed_error,count_agreement,hallucination_rate_pred,omission_rate_gold,information_retention_rate,information_injection_rate,graph_edit_distance_proxy,normalized_graph_edit_distance,graph_similarity,triple_soft_precision,triple_soft_recall,triple_soft_f1,triple_soft_tp_weighted,triple_soft_avg_match_score,triple_soft_swap_aware_precision,triple_soft_swap_aware_recall,triple_soft_swap_aware_f1,triple_soft_swap_aware_tp_weighted,triple_soft_swap_aware_avg_match_score,swap_gain_soft_f1,swap_gain_soft_recall
BSC-LT/salamandra-2b-instruct,ca,Airport,95,0.0013157894736842105,0.005263157894736842,0.002105263157894737,0.004824561403508771,0.007894736842105263,0.005112781954887218,0.003007518796992482,0.002631578947368421,0.07451583504215083,0.09934101845866553,0.17757810301153956,3.736842105263158,3.336842105263158,1.385563909774436,3.2,0.4,0.47029175502859716,0.9776315789473684,0.9947368421052631,0.005263157894736842,0.9776315789473684,7.073684210526316,0.9978947368421053,0.0021052631578947364,0.0381578947368421,0.021637426900584792,0.02341520467836257,0.06947368421052631,0.06947368421052631,0.046390013495276654,0.03654970760233918,0.031685881370091894,0.09637426900584795,0.09637426900584795,0.008270676691729324,0.014912280701754387
BSC-LT/salamandra-2b-instruct,ca,Artist,109,0.001834862385321101,0.0022935779816513763,0.0020387359836901123,0.001834862385321101,0.0022935779816513763,0.0020387359836901123,0.0,0.0,0.16278644902498113,0.11532667128997405,0.21553298892748435,2.6605504587155964,2.8990825688073394,1.0966360856269113,1.871559633027523,-0.23853211009174313,0.5535969127712247,0.9889908256880734,0.9977064220183486,0.0022935779816513763,0.9889908256880734,5.559633027522936,0.9979612640163098,0.002038735983690112,0.019243402423830557,0.022477064220183484,0.01953186693247855,0.08154943934760447,0.08154943934760447,0.019243402423830557,0.022477064220183484,0.01953186693247855,0.08154943934760447,0.08154943934760447,0.0,0.0
BSC-LT/salamandra-2b-instruct,ca,Astronaut,82,0.017770034843205575,0.022880371660859464,0.01970455019235507,0.017770034843205575,0.022880371660859464,0.01970455019235507,0.0,0.0,0.6171729812511735,0.12237622094150072,0.22865916563907956,3.5853658536585367,3.597560975609756,1.0657665505226481,2.231707317073171,-0.012195121951219513,0.5607627805798538,0.9456445993031359,0.9771196283391406,0.022880371660859464,0.9456445993031359,7.182926829268292,0.980295449807645,0.01970455019235507,0.04086817653890825,0.04769970318750807,0.04152732242163137,0.20474254742547424,0.1451219512195122,0.04086817653890825,0.04769970318750807,0.04152732242163137,0.20474254742547424,0.1451219512195122,0.0,0.0
BSC-LT/salamandra-2b-instruct,ca,Athlete,50,0.06566666666666666,0.04566666666666666,0.04476190476190476,0.06566666666666666,0.04566666666666666,0.04476190476190476,0.0,0.0,0.5537882117882118,0.2881284271284271,0.16722122322122324,2.52,2.76,1.0286666666666666,1.48,-0.24,0.6666688311688311,0.9343333333333333,0.9543333333333334,0.04566666666666666,0.9343333333333333,5.28,0.9552380952380952,0.04476190476190476,0.06566666666666666,0.04566666666666666,0.04476190476190476,0.14,0.14,0.06566666666666666,0.04566666666666666,0.04476190476190476,0.14,0.14,0.0,0.0
BSC-LT/salamandra-2b-instruct,ca,Building,46,0.010869565217391302,0.016304347826086956,0.011645962732919258,0.07608695652173914,0.028467908902691512,0.031987577639751553,0.020341614906832298,0.012163561076604556,0.13130673674151935,0.13491001751871318,0.07114190157668418,2.1739130434782608,4.521739130434782,0.5514492753623188,2.869565217391304,-2.347826086956522,0.4166149068322981,0.9891304347826086,0.9836956521739131,0.016304347826086956,0.9891304347826086,6.695652173913044,0.9883540372670808,0.011645962732919254,0.017274844720496892,0.021739130434782608,0.017415193502150025,0.07608695652173914,0.07608695652173914,0.12017339544513457,0.0496031746031746,0.05973748473748474,0.17898550724637682,0.17898550724637682,0.042322291235334715,0.027864044168391996
BSC-LT/salamandra-2b-instruct,ca,CelestialBody,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042795299938157075,0.08138528138528138,1.6326530612244898,3.2857142857142856,0.5631681243926142,1.816326530612245,-1.653061224489796,0.5316326530612245,1.0,1.0,0.0,1.0,4.918367346938775,1.0,0.0,0.006349206349206348,0.005291005291005291,0.005772005772005772,0.031746031746031744,0.031746031746031744,0.006349206349206348,0.005291005291005291,0.005772005772005772,0.031746031746031744,0.031746031746031744,0.0,0.0
BSC-LT/salamandra-2b-instruct,ca,City,83,0.03313253012048193,0.0285140562248996,0.03038821954484605,0.045180722891566265,0.040562248995983936,0.042436412315930386,0.012048192771084338,0.012048192771084338,0.5691713397241391,0.05020080321285141,0.1581698048388339,2.9518072289156625,3.0,1.0674985656913367,1.7349397590361446,-0.04819277108433735,0.594566578000313,0.9307228915662651,0.9714859437751004,0.0285140562248996,0.9307228915662651,5.951807228915663,0.969611780455154,0.03038821954484605,0.03313253012048193,0.0285140562248996,0.03038821954484605,0.060240963855421686,0.060240963855421686,0.045180722891566265,0.040562248995983936,0.042436412315930386,0.07228915662650602,0.07228915662650602,0.012048192771084338,0.012048192771084338
BSC-LT/salamandra-2b-instruct,ca,ComicsCharacter,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.1534126984126984,0.040079365079365076,1.2333333333333334,3.533333333333333,0.3783333333333333,2.3,-2.3,0.3783333333333333,1.0,1.0,0.0,1.0,4.766666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSC-LT/salamandra-2b-instruct,ca,Company,66,0.10560273060273061,0.11958874458874458,0.10481283422459893,0.10560273060273061,0.11958874458874458,0.10481283422459893,0.0,0.0,0.4398381574852163,0.18920436861613332,0.18324562148091558,2.0454545454545454,2.727272727272727,1.009126984126984,1.9545454545454546,-0.6818181818181818,0.5193806193806194,0.848942723942724,0.8804112554112553,0.11958874458874458,0.848942723942724,4.7727272727272725,0.8951871657754011,0.10481283422459893,0.13780972114305448,0.15630511463844798,0.13136138855093105,0.3246753246753247,0.26743626743626747,0.13780972114305448,0.15630511463844798,0.13136138855093105,0.3246753246753247,0.26743626743626747,0.0,0.0
BSC-LT/salamandra-2b-instruct,ca,Film,264,0.0004734848484848485,0.001893939393939394,0.0007575757575757576,0.004261363636363636,0.005681818181818182,0.004545454545454545,0.003787878787878788,0.003787878787878788,0.17310039497539495,0.06467737859783314,0.09548399832490742,2.268939393939394,2.9356060606060606,1.0544372294372295,2.0,-0.6666666666666666,0.5715766872016872,0.9881628787878788,0.9981060606060606,0.001893939393939394,0.9881628787878788,5.204545454545454,0.9992424242424243,0.0007575757575757574,0.0004734848484848485,0.001893939393939394,0.0007575757575757576,0.003787878787878788,0.003787878787878788,0.011217206790123457,0.01465114104002993,0.012219917428250763,0.02605569584736251,0.022741301907968574,0.011462341670675004,0.012757201646090536
BSC-LT/salamandra-2b-instruct,ca,Food,46,0.0,0.0,0.0,0.010869565217391304,0.007246376811594202,0.008695652173913044,0.008695652173913044,0.007246376811594202,0.2813601857080118,0.01885940146809712,0.129165882426752,1.826086956521739,4.565217391304348,0.49270186335403726,3.0869565217391304,-2.739130434782609,0.4099120082815735,0.9565217391304348,1.0,0.0,0.9565217391304348,6.391304347826087,1.0,0.0,0.008152173913043478,0.003260869565217391,0.004658385093167701,0.016304347826086956,0.016304347826086956,0.019021739130434784,0.010507246376811594,0.013354037267080746,0.03804347826086957,0.03804347826086957,0.008695652173913044,0.007246376811594202
BSC-LT/salamandra-2b-instruct,ca,MeanOfTransportation,58,0.04669540229885058,0.03362068965517241,0.03602690413035241,0.04669540229885058,0.03362068965517241,0.03602690413035241,0.0,0.0,0.2884268030819755,0.15824912635257463,0.2345585449033725,2.206896551724138,2.586206896551724,1.039655172413793,1.6896551724137931,-0.3793103448275862,0.5743164402647161,0.9533045977011494,0.9663793103448275,0.03362068965517241,0.9533045977011494,4.793103448275862,0.9639730958696476,0.03602690413035241,0.07543103448275862,0.051580459770114946,0.056141846659088036,0.11494252873563218,0.11494252873563218,0.08756385696040869,0.057646871008939976,0.06423039497752142,0.12707535121328226,0.12707535121328226,0.008088548318433376,0.006066411238825032
BSC-LT/salamandra-2b-instruct,ca,Monument,46,0.008695652173913044,0.021739130434782608,0.012422360248447206,0.008695652173913044,0.021739130434782608,0.012422360248447206,0.0,0.0,0.012422360248447206,0.05229625447016751,0.051640629901499466,1.8695652173913044,4.521739130434782,0.5376293995859214,3.3043478260869565,-2.652173913043478,0.35973084886128365,0.991304347826087,0.9782608695652174,0.021739130434782608,0.991304347826087,6.391304347826087,0.9875776397515529,0.012422360248447204,0.015251897860593512,0.03157349896480331,0.02028985507246377,0.06314699792960662,0.041407867494824016,0.015251897860593512,0.03157349896480331,0.02028985507246377,0.06314699792960662,0.041407867494824016,0.0,0.0
BSC-LT/salamandra-2b-instruct,ca,MusicalWork,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009367816091954024,0.024269293924466338,0.04265339911384536,1.5275862068965518,2.8448275862068964,0.682799671592775,1.703448275862069,-1.3172413793103448,0.5519524058317161,0.9758620689655172,1.0,0.0,0.9758620689655172,4.372413793103449,1.0,0.0,0.0012068965517241378,0.0017097701149425288,0.0013409961685823754,0.005919540229885057,0.005919540229885057,0.005431034482758621,0.005316091954022988,0.005153256704980843,0.011379310344827585,0.011379310344827585,0.003812260536398468,0.00360632183908046
BSC-LT/salamandra-2b-instruct,ca,Politician,29,0.034482758620689655,0.017241379310344827,0.022988505747126436,0.034482758620689655,0.017241379310344827,0.022988505747126436,0.0,0.0,0.04597701149425287,0.04937304075235109,0.23801811215604318,2.5172413793103448,3.5517241379310347,0.8120689655172414,2.2758620689655173,-1.0344827586206897,0.4870279146141215,0.9310344827586207,0.9827586206896551,0.017241379310344827,0.9310344827586207,6.068965517241379,0.9770114942528735,0.02298850574712644,0.034482758620689655,0.017241379310344827,0.022988505747126436,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.017241379310344827,0.022988505747126436,0.034482758620689655,0.034482758620689655,0.0,0.0
BSC-LT/salamandra-2b-instruct,ca,Scientist,259,0.06244254458540173,0.06642765214193785,0.060416385416385415,0.06340779555065269,0.06739290310718883,0.061381636381636386,0.0009652509652509653,0.0009652509652509653,0.38587635016206445,0.1179597215311501,0.23961912176197891,2.0849420849420848,2.583011583011583,1.0164736164736163,1.6795366795366795,-0.4980694980694981,0.6090402090402091,0.9298354476925906,0.9335723478580621,0.06642765214193785,0.9298354476925906,4.667953667953668,0.9395836145836146,0.060416385416385415,0.08346714060999776,0.08382290453719025,0.07718928076070933,0.20171600171600174,0.16725296725296723,0.08443239157524872,0.08478815550244122,0.07815453172596029,0.2055770055770056,0.17111397111397111,0.0009652509652509653,0.0009652509652509653
BSC-LT/salamandra-2b-instruct,ca,SportsTeam,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033677685950413226,0.10139380821199002,0.1849796667978486,2.340909090909091,4.613636363636363,0.5994047619047619,2.8181818181818183,-2.272727272727273,0.4194534632034632,1.0,1.0,0.0,1.0,6.954545454545454,1.0,0.0,0.0025703463203463205,0.002937538651824366,0.0027417027417027417,0.020562770562770564,0.020562770562770564,0.0025703463203463205,0.002937538651824366,0.0027417027417027417,0.020562770562770564,0.020562770562770564,0.0,0.0
BSC-LT/salamandra-2b-instruct,ca,University,90,0.09604938271604938,0.06862433862433863,0.07544171877505211,0.09604938271604938,0.06862433862433863,0.07544171877505211,0.0,0.0,0.5414616799704519,0.1451328609661943,0.38341353902757414,3.522222222222222,3.5,1.0771164021164021,2.2666666666666666,0.022222222222222223,0.5931308506308507,0.8928395061728395,0.9313756613756614,0.06862433862433863,0.8928395061728395,7.022222222222222,0.9245582812249479,0.07544171877505211,0.13497873799725651,0.10200440917107582,0.10778885055273944,0.32839506172839505,0.2967592592592592,0.13497873799725651,0.10200440917107582,0.10778885055273944,0.32839506172839505,0.2967592592592592,0.0,0.0
BSC-LT/salamandra-2b-instruct,ca,WrittenWork,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040310077519379844,0.10348837209302326,0.07986509614416591,1.697674418604651,2.3488372093023258,0.8937984496124031,1.3953488372093024,-0.6511627906976745,0.599640088593577,0.9767441860465116,1.0,0.0,0.9767441860465116,4.046511627906977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
