model_name,lang,category,n,bleu_sentence,rougeL_f1,meteor,chrfpp,bertscore_precision,bertscore_recall,bertscore_f1,bert_cosine,e5_cosine,expansion_ratio,expansion_abs_distance_from_1,bleu_corpus
BSC-LT/salamandra-2b-instruct,ca,Airport,95,0.1308476458138149,0.33447287874670845,0.2186086026977506,0.3056890054993098,0.7313833995869286,0.727058552440844,0.7279417759493778,0.7280919087560553,0.8728497818896644,0.7981033975390761,0.40040271376526615,0.16082292943148827
BSC-LT/salamandra-2b-instruct,ca,Artist,109,0.150984204807232,0.34770417964705086,0.2531552188900613,0.3299743101718169,0.7449016543703342,0.7332306722982214,0.7381054152042494,0.6907533861081535,0.8607440601795091,0.8924051675913527,0.41562696189781806,0.19923391155511513
BSC-LT/salamandra-2b-instruct,ca,Astronaut,82,0.21567655892801887,0.38187466388183283,0.2990917083699138,0.38369300519725485,0.7665684357648943,0.767127151896314,0.7659466441084699,0.769061275735134,0.8818302394413366,1.3493533968542053,0.6813130504168624,0.24107440590059553
BSC-LT/salamandra-2b-instruct,ca,Athlete,50,0.0545729891909526,0.19201431981276318,0.09382141473995992,0.17038295133895268,0.632558468580246,0.6513075339794159,0.6404505693912506,0.5674059444665909,0.8092190206050873,1.211686055653975,0.852863570400848,0.07443515919915245
BSC-LT/salamandra-2b-instruct,ca,Building,46,0.14518301624284397,0.2907873045487393,0.2121799188225572,0.28779305369808067,0.7546703193498694,0.7225583221601404,0.7367474734783173,0.7452088471340097,0.8659753708735757,0.6449695739404315,0.3895043289526537,0.18321156465028104
BSC-LT/salamandra-2b-instruct,ca,CelestialBody,49,0.1256730341942198,0.2913876284933246,0.2522655387245927,0.31428308773675306,0.7231926881537145,0.7134695837692339,0.7164722693209745,0.7179469350649386,0.8681723560605731,1.62598827096349,1.0592724249709906,0.12826301573681909
BSC-LT/salamandra-2b-instruct,ca,City,83,0.1736606030850447,0.3941367107093315,0.24387175044688894,0.3495404886453985,0.7244301122355173,0.7357242509543177,0.7292956049183765,0.7094054839697229,0.8939373766083315,0.971264874954248,0.4964708792393022,0.2245955536437226
BSC-LT/salamandra-2b-instruct,ca,ComicsCharacter,30,0.09321634228299912,0.2334706930794367,0.1549775893823772,0.2334650889331492,0.7092316309611003,0.7044712801774343,0.7060526589552562,0.6572452545166015,0.8339249889055887,0.6443544963583202,0.373076751892409,0.09900982163757152
BSC-LT/salamandra-2b-instruct,ca,Company,66,0.06417043230814577,0.1915157289382921,0.1288856953394384,0.21099172258619406,0.6490207495111407,0.6821796361244086,0.6638147532939911,0.5970169694134684,0.8289836807684465,1.372828233119565,0.750794279241825,0.058162258270376
BSC-LT/salamandra-2b-instruct,ca,Film,264,0.11799886753387123,0.2767214842936665,0.19622943658820735,0.2714577054931107,0.7059110441442692,0.7067557008880557,0.7050046096696998,0.6415473747659813,0.8566222829800664,1.4660236367690325,1.0312579071454315,0.13047412949829357
