model_name,lang,split,n,bleu_sentence,rougeL_f1,meteor,chrfpp,bertscore_precision,bertscore_recall,bertscore_f1,bert_cosine,e5_cosine,expansion_ratio,expansion_abs_distance_from_1,bleu_corpus
BSC-LT/salamandra-2b-instruct,ca,test,1779,0.1360008933335504,0.29959836886526536,0.22099663941388017,0.3024140332971425,0.720040329944022,0.7218450024899906,0.719670364081424,0.6819146249721799,0.8624140109621855,1.2576647405781936,0.7730116505848142,0.16973430911909912
BSC-LT/salamandra-2b-instruct,en,test,1779,0.25305028713859234,0.474820347757444,0.4065895488876445,0.469513940959511,0.8149661335836574,0.8019466197443785,0.8070945526656976,0.7957904689797127,0.8785563274472533,1.0048030276335087,0.3509631476264323,0.2971511700107089
BSC-LT/salamandra-2b-instruct,es,test,1779,0.22811869466737397,0.4402427723984929,0.38886804836593,0.45215096174856806,0.8099753893681495,0.8028164278629993,0.8051330916261057,0.818307593959044,0.8970631403893551,1.7734371529165616,1.0767859305089302,0.16723983529232858
BSC-LT/salamandra-2b-instruct,eu,test,1779,0.02733004937902543,0.1075328537045531,0.049840499677143844,0.14554887832816682,0.6055571356806076,0.6161087227376946,0.6094636495961708,0.5814594878381125,0.7980262367426512,2.3995828663839553,2.0452640544393463,0.011396229369242868
BSC-LT/salamandra-2b-instruct,gl,test,1779,0.046759443647335405,0.19795480531889184,0.09550809383145437,0.16343046864664626,0.6397059861028241,0.6544751448199748,0.6457000454534902,0.5779760031970851,0.8264605617710818,2.0606381419108035,1.7604041319654933,0.0352734503096377
CohereLabs/tiny-aya-global,ca,test,1779,0.34162142964641423,0.5372603763366907,0.5173899686869177,0.5968144555407705,0.8492855009166895,0.8687380729531089,0.8585311894071042,0.8937557257582057,0.9323814022467336,1.085250708363873,0.15092777840560564,0.33838411999044704
CohereLabs/tiny-aya-global,en,test,1779,0.4257794264006738,0.617856072861299,0.6086513476126519,0.6640925881198894,0.8795121179798334,0.8900907285900984,0.8845617715531082,0.9125972048093122,0.9151375830475034,1.0344262801678574,0.09940152949593849,0.42445021766248525
CohereLabs/tiny-aya-global,es,test,1779,0.3299205889118087,0.5303858735519859,0.5204020312698,0.5976322987839264,0.8471887594799837,0.8734962175641587,0.8596376271446211,0.8913366441615449,0.9220923203440983,1.1961309062289527,0.2409931747585817,0.32594253334657786
CohereLabs/tiny-aya-global,eu,test,1779,0.21108276910030727,0.42716018677373807,0.38196821576286505,0.5289771248018899,0.8041255182433222,0.8213256046033562,0.8121161273753396,0.8634004414148583,0.9047069863498446,1.2083549546189263,0.2733026900131779,0.18885273372949116
CohereLabs/tiny-aya-global,gl,test,1779,0.2978389288997831,0.5137879116744574,0.47954833106618405,0.5717575949196739,0.8380098750646225,0.8650016320964605,0.8508607478809196,0.8883526947405849,0.9206014699048712,1.1596707651112719,0.2046818906681183,0.2983683164241742
HuggingFaceTB/SmolLM3-3B,ca,test,1779,0.23859448786048887,0.48032066902596976,0.4196715529379903,0.5219346803120869,0.8271881051784556,0.8402934146101653,0.8331448064552659,0.8560329514349894,0.9224473709735795,1.1511193180736938,0.245709801356115,0.2386728934264023
HuggingFaceTB/SmolLM3-3B,en,test,1779,0.26667407157461387,0.45377763548473504,0.38827685141380386,0.4125746350207839,0.7557317155375114,0.7736350813563316,0.7640332567551084,0.7119529181112394,0.8439353397885623,2.356517083838826,1.397658397965205,0.21877430202238732
HuggingFaceTB/SmolLM3-3B,es,test,1779,0.14258013845776035,0.29966477272136455,0.238844128647351,0.3008356893735879,0.6437385217100801,0.7417932829875635,0.684128820912901,0.64537673603959,0.8492556962154768,3.4222350234859893,2.476953356492564,0.10203998905754194
HuggingFaceTB/SmolLM3-3B,eu,test,1779,0.018221948002474227,0.11588452302659816,0.012129490567039408,0.0803486493085292,0.561444201634934,0.6161437143999382,0.5847359205009295,0.5179463497385541,0.7969087454762065,4.414827343717148,3.606962623854611,0.006610149816973637
HuggingFaceTB/SmolLM3-3B,gl,test,1779,0.06137855846255996,0.17007687133003954,0.10377083443156979,0.16633126860811503,0.6048114521742001,0.6539814011343011,0.6238879200412424,0.5020880795985946,0.8149255616333861,3.8404703723606395,2.884851164307144,0.03519160601728443
Qwen/Qwen3-4B-Instruct-2507,ca,test,1779,0.36345768416163626,0.5608109289819789,0.537969334869798,0.6069036228686774,0.8638340781216142,0.8761492730728222,0.869731209162851,0.9032936633269796,0.9356253999816762,1.02444759763814,0.08793447164498269,0.36976294346039823
Qwen/Qwen3-4B-Instruct-2507,en,test,1779,0.4838944824649228,0.65494537802759,0.6567834283043168,0.6977844000807765,0.890689398948901,0.8997380201437287,0.8950187263025066,0.9227502403666693,0.9184814953549382,1.0229190878121495,0.07362454487095385,0.4762737595177126
Qwen/Qwen3-4B-Instruct-2507,es,test,1779,0.403816641985742,0.5854393291717103,0.5782829693402652,0.6325172982790991,0.8763630984873501,0.8861875612458331,0.8810822323442109,0.9118689505017963,0.9271299305626889,1.0435837345924497,0.08932140717890931,0.40095668314928223
Qwen/Qwen3-4B-Instruct-2507,eu,test,1779,0.16011037882531437,0.39008640538463285,0.32540113577281976,0.4875405156395623,0.795713647789604,0.8061751967202819,0.8003477836305202,0.8499334698952337,0.9049942091048735,1.0971121796121153,0.18236405631104,0.14867267012585322
Qwen/Qwen3-4B-Instruct-2507,gl,test,1779,0.3568237081827473,0.5633574630573706,0.5403220812174401,0.6089513817774046,0.864829764666351,0.8763036207244127,0.8703057049297763,0.9032835295489827,0.9241557938118474,1.0301026236568571,0.08700683429783908,0.3599351772829637
